"","employees","salaries_2017","salary_adjustments","salaries_2018","got_a_raise"
"1","Employee 1",42392.4290528521,7434.03341155499,49826.4624644071,TRUE
"2","Employee 2",42136.7154922336,5902.9636264313,48039.6791186649,TRUE
"3","Employee 3",44633.0527006648,-4181.57387524843,40451.4788254164,FALSE
"4","Employee 4",44798.5875187442,9484.16001047008,54282.7475292142,TRUE
"5","Employee 5",40092.7888345905,1252.14000232518,41344.9288369156,TRUE
"6","Employee 6",43843.7266577967,6505.29455393553,50349.0212117322,TRUE
"7","Employee 7",43046.0275290534,6895.63261112198,49941.6601401754,TRUE
"8","Employee 8",49989.0472763218,3368.06241772138,53357.1096940432,TRUE
"9","Employee 9",40317.9279249161,2555.47881126404,42873.4067361802,TRUE
"10","Employee 10",49188.4291032329,-592.931399587542,48595.4977036454,FALSE
"11","Employee 11",47823.4332916327,1398.44810590148,49221.8813975342,TRUE
"12","Employee 12",40837.7795550041,6823.06365459226,47660.8432095964,TRUE
"13","Employee 13",46445.8644506522,1759.48628108017,48205.3507317323,TRUE
"14","Employee 14",48167.3761666752,6874.6264372021,55042.0026038773,TRUE
"15","Employee 15",49810.4552133009,4111.65736964904,53922.1125829499,TRUE
"16","Employee 16",40210.9368750826,6499.31937106885,46710.2562461514,TRUE
"17","Employee 17",48441.1892970093,5145.76711226255,53586.9564092718,TRUE
"18","Employee 18",45811.1094194464,9905.09676048532,55716.2061799318,TRUE
"19","Employee 19",45947.9695744812,-3050.88488617912,42897.0846883021,FALSE
"20","Employee 20",48213.3262697607,5468.50754064508,53681.8338104058,TRUE
"21","Employee 21",49462.5257048756,2763.13449023291,52225.6601951085,TRUE
"22","Employee 22",42989.6798008122,-2791.59329948016,40198.086501332,FALSE
"23","Employee 23",47436.0116082244,9798.68297814392,57234.6945863683,TRUE
"24","Employee 24",48679.5537173748,9446.15875603631,58125.7124734111,TRUE
"25","Employee 25",45563.9443406835,-662.374297389761,44901.5700432938,FALSE
"26","Employee 26",43894.848220516,222.711224341765,44117.5594448578,TRUE
"27","Employee 27",44009.4368369319,4862.04235465266,48871.4791915845,TRUE
"28","Employee 28",41505.8650425635,5789.52528187074,47295.3903244343,TRUE
"29","Employee 29",42730.3684456274,7728.60434837639,50458.9727940038,TRUE
"30","Employee 30",48246.5151208453,680.366511223838,48926.8816320691,TRUE
"31","Employee 31",45960.5304687284,1372.722099768,47333.2525684964,TRUE
"32","Employee 32",45227.5488711894,6647.8963161353,51875.4451873247,TRUE
"33","Employee 33",42186.0834187828,1074.15553415194,43260.2389529347,TRUE
"34","Employee 34",49952.7313630097,8994.20464760624,58946.9360106159,TRUE
"35","Employee 35",41585.2442989126,-2002.62062367983,39582.6236752328,FALSE
"36","Employee 36",41523.3139437623,-888.63632758148,40634.6776161809,FALSE
"37","Employee 37",42949.8525080271,5780.01858666539,48729.8710946925,TRUE
"38","Employee 38",49786.739309784,1855.10113020428,51641.8404399883,TRUE
"39","Employee 39",41022.9075630195,7835.8829789795,48858.790541999,TRUE
"40","Employee 40",48750.7048575208,-3683.86179441586,45066.8430631049,FALSE
"41","Employee 41",48934.3464700505,-2375.12083840556,46559.2256316449,FALSE
"42","Employee 42",44160.3379603475,-4973.74136932194,39186.5965910256,FALSE
"43","Employee 43",40787.3710826971,523.356777848676,41310.7278605457,TRUE
"44","Employee 44",42353.5884800367,4969.19918223284,47322.7876622695,TRUE
"45","Employee 45",41388.1292240694,-585.589407710359,40802.5398163591,FALSE
"46","Employee 46",41806.8039417267,8736.07826419175,50542.8822059184,TRUE
"47","Employee 47",42856.392476242,6469.14002485573,49325.5325010978,TRUE
"48","Employee 48",40561.580278445,9061.24553643167,49622.8258148767,TRUE
"49","Employee 49",45266.8062457815,6181.10429728404,51447.9105430655,TRUE
"50","Employee 50",47968.9015354961,2787.71270997822,50756.6142454743,TRUE
"51","Employee 51",46485.1342723705,-1981.82887630537,44503.3053960651,FALSE
"52","Employee 52",41229.9605412409,9882.00004212558,51111.9605833665,TRUE
"53","Employee 53",47837.4459641054,4370.92200154439,52208.3679656498,TRUE
"54","Employee 54",42697.1130794846,6315.59351226315,49012.7065917477,TRUE
"55","Employee 55",46804.5331723988,3346.29570832476,50150.8288807236,TRUE
"56","Employee 56",40997.7270802483,-246.16306880489,40751.5640114434,FALSE
"57","Employee 57",42373.9318875596,8883.66407365538,51257.595961215,TRUE
"58","Employee 58",44478.9271405898,7964.82439734973,52443.7515379395,TRUE
"59","Employee 59",49416.7675310746,2123.64999460988,51540.4175256845,TRUE
"60","Employee 60",46140.2714764699,4014.43295762874,50154.7044340987,TRUE
"61","Employee 61",43995.3256840818,-154.172900365666,43841.1527837161,FALSE
"62","Employee 62",40986.8075605482,4076.58213982359,45063.3897003718,TRUE
"63","Employee 63",42857.4225865304,6357.4417703785,49214.8643569089,TRUE
"64","Employee 64",47762.426014524,5124.13984630257,52886.5658608265,TRUE
"65","Employee 65",41758.6339847185,5335.24952945299,47093.8835141715,TRUE
"66","Employee 66",44542.0695631765,9311.08888471499,53853.1584478915,TRUE
"67","Employee 67",40568.6402204446,6362.31843149289,46930.9586519375,TRUE
"68","Employee 68",40313.7852181681,1775.33466834575,42089.1198865138,TRUE
"69","Employee 69",49002.6150201447,9652.10862690583,58654.7236470506,TRUE
"70","Employee 70",44277.4485098198,8097.28406369686,52374.7325735167,TRUE
"71","Employee 71",45831.7434717901,806.767420144752,46638.5108919349,TRUE
"72","Employee 72",49440.5370182358,5628.54246702045,55069.0794852562,TRUE
"73","Employee 73",46719.8951658793,-1470.80842521973,45249.0867406595,FALSE
"74","Employee 74",48086.227143649,-3866.50115950033,44219.7259841487,FALSE
"75","Employee 75",41088.2579535246,3777.58760121651,44865.8455547411,TRUE
"76","Employee 76",42996.654601302,-412.788556423038,42583.866044879,FALSE
"77","Employee 77",42614.2335822806,-2485.03173934296,40129.2018429376,FALSE
"78","Employee 78",42522.8264927864,340.43793566525,42863.2644284517,TRUE
"79","Employee 79",44967.562824022,92.9023278877139,45060.4651519097,TRUE
"80","Employee 80",43908.7150478736,8737.06916230731,52645.7842101809,TRUE
"81","Employee 81",48227.6244345121,-2165.48777068965,46062.1366638225,FALSE
"82","Employee 82",43604.3911450543,432.943420019001,44037.3345650733,TRUE
"83","Employee 83",49632.2889486328,1813.21062380448,51445.4995724373,TRUE
"84","Employee 84",42085.7332437299,-2923.81206294522,39161.9211807847,FALSE
"85","Employee 85",44695.2893887646,3767.32112141326,48462.6105101779,TRUE
"86","Employee 86",44465.208130423,9113.43867657706,53578.646807,TRUE
"87","Employee 87",49867.4584156834,9881.74193538725,59749.2003510706,TRUE
"88","Employee 88",43148.4226114117,-4814.54699416645,38333.8756172452,FALSE
"89","Employee 89",41660.101537127,-3233.51951898076,38426.5820181463,FALSE
"90","Employee 90",46493.268860504,-4342.77619118802,42150.492669316,FALSE
"91","Employee 91",40669.3113967776,-4976.62665438838,35692.6847423892,FALSE
"92","Employee 92",45401.7329169437,8563.04391054437,53964.7768274881,TRUE
"93","Employee 93",40198.3065810055,9082.62374810874,49280.9303291142,TRUE
"94","Employee 94",47284.2629719526,2887.0380774606,50171.3010494132,TRUE
"95","Employee 95",43164.0216405503,-1171.50760488585,41992.5140356645,FALSE
"96","Employee 96",46934.6953718923,5030.81265953369,51965.508031426,TRUE
"97","Employee 97",45261.3208466209,1514.95005004108,46776.270896662,TRUE
"98","Employee 98",40158.1141375937,-3428.49020729773,36729.6239302959,FALSE
"99","Employee 99",46959.2501083389,7012.76888372377,53972.0189920627,TRUE
"100","Employee 100",45782.9695916735,3033.421310829,48816.3909025025,TRUE
